#       time                  x1                  y1                  z1                  x2                  y2                  z2
 560.3937500    5.0182865369e-09    6.1919537407e-08    1.8961349283e-08    5.0182865369e-09    6.1919537407e-08    1.8961349283e-08
 560.4000000    5.0966972695e-09    6.2887030185e-08    1.9257620372e-08    5.0966972695e-09    6.2887030185e-08    1.9257620372e-08
 560.4062500    5.1751080023e-09    6.3854522965e-08    1.9553891461e-08    5.1751080023e-09    6.3854522965e-08    1.9553891461e-08
 560.4125000    5.2535187353e-09    6.4822015744e-08    1.9850162551e-08    5.2535187353e-09    6.4822015744e-08    1.9850162551e-08
 560.4187500    5.3319294685e-09    6.5789508523e-08    2.0146433641e-08    5.3319294685e-09    6.5789508523e-08    2.0146433641e-08
 560.4250000    5.4103402018e-09    6.6757001303e-08    2.0442704730e-08    5.4103402018e-09    6.6757001303e-08    2.0442704730e-08
 560.4312500    5.4887509353e-09    6.7724494083e-08    2.0738975820e-08    5.4887509353e-09    6.7724494083e-08    2.0738975820e-08
 560.4375000    5.5671616689e-09    6.8691986863e-08    2.1035246911e-08    5.5671616689e-09    6.8691986863e-08    2.1035246911e-08
 560.4437500    5.6455724027e-09    6.9659479644e-08    2.1331518001e-08    5.6455724027e-09    6.9659479644e-08    2.1331518001e-08
 560.4500000    5.7239831367e-09    7.0626972425e-08    2.1627789092e-08    5.7239831367e-09    7.0626972425e-08    2.1627789092e-08
 560.4562500    5.8023938709e-09    7.1594465205e-08    2.1924060182e-08    5.8023938709e-09    7.1594465205e-08    2.1924060182e-08
 560.4625000    5.8808046052e-09    7.2561957986e-08    2.2220331273e-08    5.8808046052e-09    7.2561957986e-08    2.2220331273e-08
 560.4687500    5.9592153397e-09    7.3529450768e-08    2.2516602365e-08    5.9592153397e-09    7.3529450768e-08    2.2516602365e-08
 560.4750000    6.0376260744e-09    7.4496943549e-08    2.2812873456e-08    6.0376260744e-09    7.4496943549e-08    2.2812873456e-08
 560.4812500    6.1160368092e-09    7.5464436331e-08    2.3109144548e-08    6.1160368092e-09    7.5464436331e-08    2.3109144548e-08
 560.4875000    6.1944475442e-09    7.6431929113e-08    2.3405415640e-08    6.1944475442e-09    7.6431929113e-08    2.3405415640e-08
 560.4937500    6.2728582794e-09    7.7399421895e-08    2.3701686732e-08    6.2728582794e-09    7.7399421895e-08    2.3701686732e-08
 560.5000000    6.3512690147e-09    7.8366914677e-08    2.3997957824e-08    6.3512690147e-09    7.8366914677e-08    2.3997957824e-08
 560.5062500    6.4296797503e-09    7.9334407460e-08    2.4294228916e-08    6.4296797503e-09    7.9334407460e-08    2.4294228916e-08
 560.5125000    6.5080904859e-09    8.0301900243e-08    2.4590500009e-08    6.5080904859e-09    8.0301900243e-08    2.4590500009e-08
 560.5187500    6.5865012218e-09    8.1269393026e-08    2.4886771102e-08    6.5865012218e-09    8.1269393026e-08    2.4886771102e-08
 560.5250000    6.6649119578e-09    8.2236885809e-08    2.5183042195e-08    6.6649119578e-09    8.2236885809e-08    2.5183042195e-08
 560.5312500    6.7433226940e-09    8.3204378592e-08    2.5479313288e-08    6.7433226940e-09    8.3204378592e-08    2.5479313288e-08
 560.5375000    6.8217334304e-09    8.4171871376e-08    2.5775584381e-08    6.8217334304e-09    8.4171871376e-08    2.5775584381e-08
 560.5437500    6.9001441669e-09    8.5139364160e-08    2.6071855475e-08    6.9001441669e-09    8.5139364160e-08    2.6071855475e-08
 560.5500000    6.9785549036e-09    8.6106856944e-08    2.6368126569e-08    6.9785549036e-09    8.6106856944e-08    2.6368126569e-08
 560.5562500    7.0569656405e-09    8.7074349728e-08    2.6664397663e-08    7.0569656405e-09    8.7074349728e-08    2.6664397663e-08
 560.5625000    7.1353763775e-09    8.8041842512e-08    2.6960668757e-08    7.1353763775e-09    8.8041842512e-08    2.6960668757e-08
 560.5687500    7.2137871147e-09    8.9009335297e-08    2.7256939851e-08    7.2137871147e-09    8.9009335297e-08    2.7256939851e-08
 560.5750000    7.2921978521e-09    8.9976828082e-08    2.7553210946e-08    7.2921978521e-09    8.9976828082e-08    2.7553210946e-08
 560.5812500    7.3706085896e-09    9.0944320867e-08    2.7849482041e-08    7.3706085896e-09    9.0944320867e-08    2.7849482041e-08
 560.5875000    7.4490193273e-09    9.1911813652e-08    2.8145753136e-08    7.4490193273e-09    9.1911813652e-08    2.8145753136e-08
 560.5937500    7.5274300652e-09    9.2879306438e-08    2.8442024231e-08    7.5274300652e-09    9.2879306438e-08    2.8442024231e-08
 560.6000000    7.6058408033e-09    9.3846799224e-08    2.8738295326e-08    7.6058408033e-09    9.3846799224e-08    2.8738295326e-08
 560.6062500    7.6842515415e-09    9.4814292010e-08    2.9034566422e-08    7.6842515415e-09    9.4814292010e-08    2.9034566422e-08
 560.6125000    7.7626622799e-09    9.5781784796e-08    2.9330837518e-08    7.7626622799e-09    9.5781784796e-08    2.9330837518e-08
 560.6187500    7.8410730184e-09    9.6749277582e-08    2.9627108614e-08    7.8410730184e-09    9.6749277582e-08    2.9627108614e-08
 560.6250000    7.9194837572e-09    9.7716770369e-08    2.9923379710e-08    7.9194837572e-09    9.7716770369e-08    2.9923379710e-08
 560.6312500    7.9978944961e-09    9.8684263156e-08    3.0219650806e-08    7.9978944961e-09    9.8684263156e-08    3.0219650806e-08
 560.6375000    8.0763052351e-09    9.9651755943e-08    3.0515921903e-08    8.0763052351e-09    9.9651755943e-08    3.0515921903e-08
 560.6437500    8.1547159744e-09    1.0061924873e-07    3.0812193000e-08    8.1547159744e-09    1.0061924873e-07    3.0812193000e-08
 560.6500000    8.2331267138e-09    1.0158674152e-07    3.1108464097e-08    8.2331267138e-09    1.0158674152e-07    3.1108464097e-08
 560.6562500    8.3115374533e-09    1.0255423431e-07    3.1404735194e-08    8.3115374533e-09    1.0255423431e-07    3.1404735194e-08
 560.6625000    8.3899481931e-09    1.0352172709e-07    3.1701006291e-08    8.3899481931e-09    1.0352172709e-07    3.1701006291e-08
 560.6687500    8.4683589330e-09    1.0448921988e-07    3.1997277389e-08    8.4683589330e-09    1.0448921988e-07    3.1997277389e-08
 560.6750000    8.5467696731e-09    1.0545671267e-07    3.2293548487e-08    8.5467696731e-09    1.0545671267e-07    3.2293548487e-08
 560.6812500    8.6251804133e-09    1.0642420546e-07    3.2589819585e-08    8.6251804133e-09    1.0642420546e-07    3.2589819585e-08
 560.6875000    8.7035911538e-09    1.0739169825e-07    3.2886090683e-08    8.7035911538e-09    1.0739169825e-07    3.2886090683e-08
 560.6937500    8.7820018943e-09    1.0835919104e-07    3.3182361781e-08    8.7820018943e-09    1.0835919104e-07    3.3182361781e-08
 560.7000000    8.8604126351e-09    1.0932668382e-07    3.3478632880e-08    8.8604126351e-09    1.0932668382e-07    3.3478632880e-08
 560.7062500    8.9388233760e-09    1.1029417661e-07    3.3774903978e-08    8.9388233760e-09    1.1029417661e-07    3.3774903978e-08
 560.7125000    9.0172341171e-09    1.1126166940e-07    3.4071175077e-08    9.0172341171e-09    1.1126166940e-07    3.4071175077e-08
 560.7187500    9.0956448584e-09    1.1222916219e-07    3.4367446177e-08    9.0956448584e-09    1.1222916219e-07    3.4367446177e-08
 560.7250000    9.1740555998e-09    1.1319665498e-07    3.4663717276e-08    9.1740555998e-09    1.1319665498e-07    3.4663717276e-08
 560.7312500    9.2524663414e-09    1.1416414777e-07    3.4959988376e-08    9.2524663414e-09    1.1416414777e-07    3.4959988376e-08
 560.7375000    9.3308770832e-09    1.1513164056e-07    3.5256259475e-08    9.3308770832e-09    1.1513164056e-07    3.5256259475e-08
 560.7437500    9.4092878251e-09    1.1609913336e-07    3.5552530575e-08    9.4092878251e-09    1.1609913336e-07    3.5552530575e-08
 560.7500000    9.4876985673e-09    1.1706662615e-07    3.5848801676e-08    9.4876985673e-09    1.1706662615e-07    3.5848801676e-08
 560.7562500    9.5661093095e-09    1.1803411894e-07    3.6145072776e-08    9.5661093095e-09    1.1803411894e-07    3.6145072776e-08
 560.7625000    9.6445200520e-09    1.1900161173e-07    3.6441343876e-08    9.6445200520e-09    1.1900161173e-07    3.6441343876e-08
 560.7687500    9.7229307946e-09    1.1996910452e-07    3.6737614977e-08    9.7229307946e-09    1.1996910452e-07    3.6737614977e-08
 560.7750000    9.8013415374e-09    1.2093659731e-07    3.7033886078e-08    9.8013415374e-09    1.2093659731e-07    3.7033886078e-08
 560.7812500    9.8797522804e-09    1.2190409010e-07    3.7330157179e-08    9.8797522804e-09    1.2190409010e-07    3.7330157179e-08
 560.7875000    9.9581630235e-09    1.2287158290e-07    3.7626428281e-08    9.9581630235e-09    1.2287158290e-07    3.7626428281e-08
 560.7937500    1.0036573767e-08    1.2383907569e-07    3.7922699382e-08    1.0036573767e-08    1.2383907569e-07    3.7922699382e-08
 560.8000000    1.0114984510e-08    1.2480656848e-07    3.8218970484e-08    1.0114984510e-08    1.2480656848e-07    3.8218970484e-08
 560.8062500    1.0193395254e-08    1.2577406127e-07    3.8515241586e-08    1.0193395254e-08    1.2577406127e-07    3.8515241586e-08
 560.8125000    1.0271805998e-08    1.2674155407e-07    3.8811512688e-08    1.0271805998e-08    1.2674155407e-07    3.8811512688e-08
 560.8187500    1.0350216742e-08    1.2770904686e-07    3.9107783791e-08    1.0350216742e-08    1.2770904686e-07    3.9107783791e-08
 560.8250000    1.0428627486e-08    1.2867653965e-07    3.9404054893e-08    1.0428627486e-08    1.2867653965e-07    3.9404054893e-08
